description,company,latitude,longitude,streetaddress
PPM (West Oakland BART),Pacific Park Management,37.80313,-122.293587,1357 5th St
BART - Coliseum/Oakland Airport Station,BART,37.753139,-122.19646,7200 San Leandro St. 
BART - Fruitvale Station,BART,37.775778,-122.223557,3401 E. 12th Street
BART - Rockridge Station,BART,37.844833,-122.251806,5660 College Ave
BART - MacArthur Station,BART,37.829212,-122.265422,555 40th Street
BART - Lake Merritt Station,BART,37.797759,-122.266427,800 Madison St
BART - West Oakland Station,BART,37.804935,-122.295148,1451 7th St
Fruitvale Village,Ampco System Parking,37.799367,-122.216539,3411 Fruitvale Ave
633 Kirkham Street,Ampco,37.804322,-122.292468,633 Kirkham Street
590 Mandela Parkway,Ampco,37.804346,-122.293857,590 Mandela Parkway
670 Mandela Parkway,670 Mandela Parkway,37.80484,-122.293661,670 Mandela Parkway
Fruitvale Village,Ampco System Parking,37.798652,-122.216864,3301 Fruitvale Ave 
Fruitvale Village,Ampco System Parking,0,0,2950 Derby Ave
Fruitvale Village,Ampco System Parking,37.774892,-122.222405,36th Ave
Hilton Oakland,,37.726591,-122.201728,One Hengenberger Road
Oakland QuikPark,,37.732079,-122.198792,250 Hegenberger Road
Oakland Airport - Economy Lot,Oakland International Airport,37.71612,-122.209139,1 Airport Dr
Oakland Airport - Daily Lot,Oakland International Airport,37.71612,-122.209139,1 Airport Dr 
Oakland Airport - Hourly Lot,Oakland International Airport,37.71612,-122.209139,1 Airport Dr 
Oakland Airport - ValuPark Lot,Oakland International Airport,37.71619,-122.213903,1 Airport Dr 
SF Oakland Truck Stop,SF Oakland Truck Stop,37.748758,-122.19197,8255 San Leandro Street
Ace Parking,Ace Parking,37.80549,-122.27059,1611 Telegraph
Impark,Impark,0,0,240 First St
Market Garage,,37.794182,-122.27167,255 Second St
88 Franklin Garage,Pacific Park Management,37.78352,-122.422603,989 Franklin St
N PARK TRAVEL,N PARK TRAVEL,37.72327,-122.19611,10001 Doolittle Dr
ETHIO VALLEY PARKING,ETHIO VALLEY PARKING,37.773604,-122.138553,7961 Shay Dr
PARKING GARAGE,PARKING GARAGE,37.800287,-122.271844,388 9th St Ste 190
BAY AREA PARKING,BAY AREA PARKING,37.81032,-122.269379,2100 Telegraph Ave
DOUGLAS PARKING CO,DOUGLAS PARKING CO,37.803624,-122.270862,420 13th St
DOUGLAS PARKING CO,DOUGLAS PARKING CO,37.798081,-122.261976,1000 Oak St
MONTCLAIR PARKING GARAGE,MONTCLAIR PARKING GARAGE,37.827403,-122.208975,6235 La Salle Ave
QUICK PARK,QUICK PARK,37.732079,-122.198792,250 Hegenberger Rd
WESTERN AUTO STORAGE,WESTERN AUTO STORAGE,37.748758,-122.19197,8255 San Leandro St
A & B AUTO CO,A & B AUTO CO,37.747842,-122.184498,8717 G St
V I P AIRPORT PARKING,V I P AIRPORT PARKING,37.7344,-122.197919,301 Hegenberger Rd
ALAMEDA COUNTY PARK AND DIV,ALAMEDA COUNTY PARK AND DIV,37.80097,-122.264849,165 13th St
AMPCO SYSTEM PARKING INC,AMPCO SYSTEM PARKING INC,37.804838,-122.269342,1504 Franklin St Ste 303
DOWNTOWN MERCHANTS PRKG ASSN,DOWNTOWN MERCHANTS PRKG ASSN,37.803175,-122.270377,1305 Franklin St Ste 309
SFO SHUTTLE BUS COMPANY,SFO SHUTTLE BUS COMPANY,37.734413,-122.214384,1029 Wright St
